StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1,Q7_2,Q8_1,Q8_2,Q9_1,Q9_2,Q10_1,Q10_2,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Welcome - Thank you so much for taking the time to fill in this survey! 

This survey is being undertaken as part of a Masters Thesis at the Technical University of Munich (TUM) School of Management Chair of Corporate Management.  The following questions will help to support this research. Please answer all questions openly and truthfully. The Survey consists of 4 sections and should take about 5 to 10 minutes. Please indicate acceptance of the following consent form.

 


Consent Form

I understand that participation in this study is entirely voluntary and that the information provided by me will be held anonymously, such that my responses cannot be traced back individually or withdrawn when they have been submitted. I understand that the anonymous information may be retained indefinitely.",How familiar are you with Artificial Intelligence (AI)?,"You have inherited 50,000 euro that you want to invest in a managed fund. 

Please rate how acceptable you find each of the following approaches? - An experienced stock broker manages the investment fund.","You have inherited 50,000 euro that you want to invest in a managed fund. 

Please rate how acceptable you find each of the following approaches? - A trading algorithm (artificial intelligence) manages the investment fund.","You have applied for a job at a large international company; the company has received more than 500 applications for the position.

Please rate how acceptable you find each of the following approaches? - The human resources department review and screen the applications to create a short list for further review.","You have applied for a job at a large international company; the company has received more than 500 applications for the position.

Please rate how acceptable you find each of the following approaches? - Artificial intelligence is used to review and screen the applications to create a short list for further review.","A global pandemic has killed millions of people worldwide. After a year a vaccine has become available. A schedule must be made to determine in what order to administer the vaccine to the population.
Please rate how acceptable you find each of the following approaches to the problem? - Employees at the health department determine the order in which the community is to be vaccinated based on how their assessment of how they can save the highest number of lives.","A global pandemic has killed millions of people worldwide. After a year a vaccine has become available. A schedule must be made to determine in what order to administer the vaccine to the population.
Please rate how acceptable you find each of the following approaches to the problem? - Artificial intelligence is used to determine the order in which the community is to be vaccinated based on its assessment of how to save the highest number of lives.","A hospital emergency room is overrun during a pandemic and the hospital must decide how to allocate the limited available doctors during the period of excessive demand.

Please rate how acceptable you find each of the following approaches? - An emergency doctor decides who to treat first based on their assessment of how they can save the highest number of lives.","A hospital emergency room is overrun during a pandemic and the hospital must decide how to allocate the limited available doctors during the period of excessive demand.

Please rate how acceptable you find each of the following approaches? - An algorithm decides who to treat first based on its assessment of how the doctors can save the highest number of lives.","Traffic accidents are a major cause of accidental death worldwide.

Please rate how acceptable you find each of the following approaches? - Humans continue to drive themselves.","Traffic accidents are a major cause of accidental death worldwide.

Please rate how acceptable you find each of the following approaches? - Autonomous vehicles (self driving) powered by Artificial Intelligence replace human drivers.","You read the news once a day. You only have a limited amount of time so you can only read a limited number of articles each day.

Please rate how acceptable you find each of the following approaches to the problem? - You read the headlines of the news, in the order presented by the online news platform or in the newspaper and decide which articles to read.","You read the news once a day. You only have a limited amount of time so you can only read a limited number of articles each day.

Please rate how acceptable you find each of the following approaches to the problem? - Artificial intelligence filters the news to find the articles that it determines that you would want to read and provides you this list of news articles.",In the following section you are presented with several different statements. Please indicate to what extent you agree or disagree with it. - I would find the Artificial Intelligence useful for decision making  in my job.,In the following section you are presented with several different statements. Please indicate to what extent you agree or disagree with it. - Using Artificial Intelligence enables humans to make decisions more quickly / better decisions,In the following section you are presented with several different statements. Please indicate to what extent you agree or disagree with it. - My interaction with a system that uses Artificial Intelligence would be clear and understandable.,In the following section you are presented with several different statements. Please indicate to what extent you agree or disagree with it. - Using Artificial Intelligence in decision making is a good idea.,In the following section you are presented with several different statements. Please indicate to what extent you agree or disagree with it. - I feel apprehensive about using Artificial Intelligence in decision making,In the following section you are presented with several different statements. Please indicate to what extent you agree or disagree with it. - Artificial Intelligence is somewhat intimidating to me.,In the following section you are presented with several different statements. Please indicate to what extent you agree or disagree with it. - I intend to use Artificial Intelligence in my work or other applications,In the following section you are presented with several different statements. Please indicate to what extent you agree or disagree with it. - It would be easy for me to become skilful at using / utilizing Artificial Intelligence.,In the following section you are presented with several different statements. Please indicate to what extent you agree or disagree with it. - I would trust the output from Artificial Intelligence,"For the next section, please imagine that you are taking part in a lottery. For each question you will have the choice between two options. 
The alternatives in the options differ in the amount of profit. In option A the maximum profit is smaller, while the minimum profit is bigger. In option B, it is the opposite: the maximum profit is bigger, while the minimum profit is smaller. 
Please choose between option A or option B for each of the following. Please be sure to answer all 10 questions.",Please choose between option A or option B,Please choose between option A or option B,Please choose between option A or option B,Please choose between option A or option B,Please choose between option A or option B,Please choose between option A or option B,Please choose between option A or option B,Please choose between option A or option B,Please choose between option A or option B,What is your gender?,What is your age?,List of Countries,What is your highest level of education completed?,Which of the following categories best describes your employment status?,"If you take a look at the total income of all household members: how high is the monthly
household income today?
Please choose the area your net monthly household income lies in. Net income means after
deductions for taxes and social security. Please include regular income such as pensions,
housing allowance, child allowance, grants for higher education support payments, etc."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID151""}","{""ImportId"":""QID186""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID184_1""}","{""ImportId"":""QID184_2""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID90_2""}","{""ImportId"":""QID190_1""}","{""ImportId"":""QID190_2""}","{""ImportId"":""QID187_1""}","{""ImportId"":""QID187_2""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID86_2""}","{""ImportId"":""QID86_4""}","{""ImportId"":""QID86_5""}","{""ImportId"":""QID86_6""}","{""ImportId"":""QID86_7""}","{""ImportId"":""QID86_8""}","{""ImportId"":""QID86_9""}","{""ImportId"":""QID86_10""}","{""ImportId"":""QID172""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID59""}","{""ImportId"":""QID75""}","{""ImportId"":""QID77""}","{""ImportId"":""QID61""}","{""ImportId"":""QID64""}","{""ImportId"":""QID79""}"
22/01/2021 10:06,22/01/2021 10:41,IP Address,100,2099,TRUE,22/01/2021 10:41,R_2bUzFJ0GcW6gyan,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",totally acceptable,totally acceptable,acceptable,acceptable,totally acceptable,totally acceptable,totally acceptable,acceptable,somewhat not acceptable,totally acceptable,totally acceptable,somewhat not acceptable,somewhat agree,agree,somewhat agree,somewhat agree,Don't know,somewhat agree,Don't know,agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,21-34,France,Doctorate / PhD,Student,"more than 5,000 Euro"
22/01/2021 10:24,22/01/2021 10:41,IP Address,100,1011,TRUE,22/01/2021 10:41,R_3LdIOXLZyOG5xbY,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",somewhat acceptable,somewhat acceptable,totally acceptable,somewhat acceptable,acceptable,somewhat acceptable,acceptable,acceptable,somewhat acceptable,totally acceptable,acceptable,acceptable,strongly agree,agree,agree,agree,neutral,somewhat disagree,somewhat agree,somewhat agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(A) an 80% chance of getting 2€ and a 20% chance of getting 1.60€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,35-44,France,Master / diploma,Employed,"more than 5,000 Euro"
23/01/2021 11:05,23/01/2021 11:17,IP Address,100,672,TRUE,23/01/2021 11:17,R_el222A3TYUCdUpb,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),totally acceptable,acceptable,totally acceptable,acceptable,totally acceptable,totally acceptable,totally acceptable,acceptable,totally acceptable,totally acceptable,totally acceptable,not acceptable,somewhat agree,agree,agree,agree,neutral,disagree,neutral,disagree,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(A) an 80% chance of getting 2€ and a 20% chance of getting 1.60€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Germany,Master / diploma,Employed,"3,601 - 5,000 Euro"
23/01/2021 11:07,23/01/2021 11:21,IP Address,100,843,TRUE,23/01/2021 11:21,R_bfwjQa0Mhz4vIYh,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),not at all acceptable,neutral,acceptable,acceptable,neutral,neutral,totally acceptable,not at all acceptable,totally acceptable,somewhat not acceptable,acceptable,not acceptable,somewhat agree,neutral,agree,somewhat disagree,neutral,somewhat agree,disagree,agree,neutral,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(A) an 80% chance of getting 2€ and a 20% chance of getting 1.60€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Germany,Doctorate / PhD,Employed,"more than 5,000 Euro"
23/01/2021 11:11,23/01/2021 11:21,IP Address,100,642,TRUE,23/01/2021 11:21,R_3Le5zSduuM7JUxI,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),somewhat acceptable,somewhat acceptable,acceptable,somewhat acceptable,somewhat acceptable,acceptable,acceptable,not acceptable,acceptable,somewhat acceptable,acceptable,acceptable,somewhat agree,somewhat agree,somewhat agree,agree,agree,somewhat agree,somewhat agree,agree,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Germany,Master / diploma,Employed,"more than 5,000 Euro"
23/01/2021 11:14,23/01/2021 11:22,IP Address,100,460,TRUE,23/01/2021 11:22,R_1OIEsWw02pCp1fB,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",totally acceptable,acceptable,acceptable,neutral,neutral,acceptable,totally acceptable,somewhat acceptable,acceptable,totally acceptable,acceptable,not acceptable,neutral,somewhat agree,strongly agree,agree,disagree,neutral,agree,somewhat disagree,agree,(B) a 10% chance of getting 3.85€ and a 90% chance of getting 0.10€,(B) a 20% chance of getting 3.85€ and a 80% chance of getting 0.10€,(B) a 30% chance of getting 3.85€ and a 70% chance of getting 0.10€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Germany,Doctorate / PhD,Employed,"more than 5,000 Euro"
23/01/2021 11:09,23/01/2021 11:23,IP Address,100,834,TRUE,23/01/2021 11:23,R_1PR9tmdmivEwLCD,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),acceptable,acceptable,not acceptable,totally acceptable,acceptable,acceptable,totally acceptable,not acceptable,totally acceptable,acceptable,acceptable,totally acceptable,Don't know,neutral,somewhat disagree,somewhat agree,somewhat agree,strongly agree,disagree,somewhat disagree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Canada,Master / diploma,Employed,"2,601 - 3,600 Euro"
23/01/2021 11:19,23/01/2021 11:27,IP Address,100,476,TRUE,23/01/2021 11:27,R_zVECqXPMZUd38yt,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),neutral,neutral,totally acceptable,neutral,somewhat acceptable,somewhat acceptable,totally acceptable,not at all acceptable,totally acceptable,totally acceptable,totally acceptable,not at all acceptable,somewhat disagree,disagree,Don't know,neutral,Don't know,Don't know,disagree,somewhat agree,Don't know,(B) a 10% chance of getting 3.85€ and a 90% chance of getting 0.10€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Germany,Doctorate / PhD,Employed,"1,701 - 2,600 Euro"
